"SugarBase_ID","Glycan","Link","Species","Immunogenic"
"SBID654","Fuc(a1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
"SBID668","Fuc(a1-4)][GalOS(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)][Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]GalNAc","None","Homo sapiens","No"
"SBID779","Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)Glc","Free","Homo sapiens","No"
"SBID857","Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1008","GalOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","Homo sapiens","No"
"SBID1021","GalOS(b1-4)GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID1029","Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc","None","Homo sapiens","No"
"SBID1035","Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1041","Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1148","Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Antheraea pernyi, Apis mellifera, Autographa californica nucleopolyhedrovirus, AvianInfluenzaA Virus, Bombyx mori, Bos taurus, Caenorhabditis elegans, Drosophila melanogaster, Homo sapiens, HumanImmunoDeficiency Virus, Mamestra brassicae, Megathura crenulata, Mus musculus, Rattus norvegicus, Spodoptera frugiperda, Sus scrofa, Trichinella spiralis","Unknown"
"SBID1163","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID1181","GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","Unknown"
"SBID1204","Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc","O","Gallus gallus, Homo sapiens","No"
"SBID1237","Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Bos taurus, Homo sapiens, Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Sus scrofa, Tetronarce californica","No"
"SBID1241","GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[GalOS(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","Homo sapiens","No"
"SBID1272","Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc","O","Homo sapiens, Rattus norvegicus","No"
"SBID1273","Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc","O","Homo sapiens","No"
"SBID1353","Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID1399","Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
"SBID1407","Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1409","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens, Mus musculus","No"
"SBID1429","GlcNAc(b1-2)Man(a1-3)[Man(a1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Bos taurus, Homo sapiens","No"
"SBID1504","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID1511","Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1553","Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1574","NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID1579","NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1614","Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
"SBID1624","Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1642","Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID1705","NeuNAc(a2-6)Man(b1-4)GlcNAc","Free","Homo sapiens","No"
"SBID1734","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID1764","ManOP(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[ManOP(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID1798","NeuNAc(a2-6)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID1810","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID1849","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID1861","Fuc(a1-2)Gal(b1-4)GlcNAcOS(b1-6)[Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID1905","Man(a1-3)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Acremonium sp, Apis mellifera, Apis sp, Aspergillus awamori, Astragalus lentiginosus, Cricetulus griseus, Homo sapiens, Rattus norvegicus, Ricinus communis, Riftia pachyptila, Trypanosoma brucei","Unknown"
"SBID1915","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)GalOS(b1-3)GalNAc","O","Homo sapiens","No"
"SBID1928","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID1947","Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Bos taurus, Desmodus rotundus, Homo sapiens, HumanImmunoDeficiency Virus, Mesocricetus auratus, MinkCellFocusForming Virus, Mus musculus, Rattus norvegicus, Sus scrofa","No"
"SBID1990","GalOS(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","None","Homo sapiens","No"
"SBID2016","Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2026","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Desmodus rotundus, Homo sapiens, Mus musculus, Rattus norvegicus","No"
"SBID2029","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2031","Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2042","Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2048","Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID2057","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID2059","Man(b1-2)Man(b1-2)Man(a1-2)Man(a1-2)Man","O","Candida albicans, Clavispora lusitaniae, Homo sapiens, Komagataella pastoris","No"
"SBID2085","NeuNAc(a2-6)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2099","Fuc(a1-2)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2228","Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-4)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID2245","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2268","Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
"SBID2289","GalOS(b1-4)GlcNAc(b1-2)[GalOS(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","None","Homo sapiens","No"
"SBID2309","GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-4)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID2384","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2417","Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc","O","Bos taurus, Bufo bufo, Gallus gallus, Homo sapiens, Marburg Virus, Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Schistosoma mansoni, Sus scrofa","No"
"SBID2439","Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens, Sus scrofa","No"
"SBID2458","Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Acremonium sp, Antheraea pernyi, Apis mellifera, Apis sp, Arabidopsis thaliana, Artemisia vulgaris, Aspergillus niger, Aspergillus oryzae, Astacus leptodactylus, Asterias rubens, AvianInfluenzaA Virus, Bombyx mori, Bos taurus, Caenorhabditis elegans, Canavalia ensiformis, Carica papaya, Cherax quadricarinatus, Columbia livia, Cryptococcus neoformans, Fusarium graminearum, Fusarium sp, Gallus gallus, Glycine max, Herpetomonas muscarum, Herpetomonas pessoai, Homo sapiens, HumanImmunoDeficiency Virus, Kinetoplastids, Leishmania adleri, Leishmania mexicana, Leptomonas samueli, Mamestra brassicae, MinkCellFocusForming Virus, Mus musculus, Nicotiana alata, Oryza sativa, Phaseolus lunatus, Phaseolus vulgaris, Physcomitrella patens, Ricinus communis, Riftia pachyptila, Saccharomyces cerevisiae, Saccharomyces uvarum, Schistosoma mansoni, Schizosaccharomyces pombe, SpleenFocusForming Virus, Spodoptera frugiperda, Strigomonas culicis, Tetronarce californica, Trypanosoma brucei, Trypanosoma conorhini, Trypanosoma cruzi, Trypanosoma dionisii, Unio elongatus, Yarrowia lipolytica","No"
"SBID2460","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2468","Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2563","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc","O","Equus caballus, Homo sapiens","No"
"SBID2594","Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID2615","NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Bos taurus, Equus caballus, Gallus gallus, Homo sapiens, Mus musculus, Rattus norvegicus, Sus scrofa","No"
"SBID2628","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2655","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-3)GalNAc","O","Homo sapiens","No"
"SBID2656","GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens, Ovis aries, Sus scrofa","No"
"SBID2662","NeuNAc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc","Free","Homo sapiens","No"
"SBID2737","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID2780","Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-4)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID2794","GlcOSA(b1-3)Gal(b1-3)[NeuNAc(a2-6)]Gal(b1-4)Xyl","O","Homo sapiens","No"
"SBID2802","NeuNAc(a2-3)Man(b1-4)Glc","Free","Homo sapiens","No"
